#NAME?,Target Muscle Group 
Alternating Double Dumbbell Z Press,Front Shoulder
Single Arm Dumbbell Half Kneeling Ipsilateral Overhead Press,Front Shoulder
Double Dumbbell Half Kneeling Overhead Press,Front Shoulder
Double Dumbbell Tall Kneeling Overhead Press,Front Shoulder
Alternating Double Dumbbell Tall Kneeling Overhead Press,Front Shoulder
Alternating Double Dumbbell Half Kneeling Overhead Press,Front Shoulder
Single Arm Dumbbell Tall Kneeling Overhead Press,Front Shoulder
Double Plate Incline Bench Prone Y Raise,Rear Shoulder
Single Arm Kettlebell Pendlay Row,Back
Barbell Floor Press,Chest
Ring Plank,Abdominals
Single Arm Ring Plank,Abdominals
Battle Rope Alternating Outward Circle,Front Shoulder
Battle Rope Alternating Inward Circle,Front Shoulder
Ring Support Hold,Abdominals
Ring Side Plank,Abdominals
Barbell Reverse Grip Bent Over Row,Back
Macebell Offset Bent Over Row,Back
Macebell Reverse Grip Offset Bent Over Row,Back
Alternating Single Arm Kettlebell Pendlay Row,Back
Bodyweight Hollow Body Rock ,Abdominals
Single Arm Dumbbell Power Snatch,Legs
Alternating Single Arm Dumbbell Power Snatch,Legs
Single Arm Dumbbell Squat Snatch,Legs
Alternating Single Arm Dumbbell Squat Snatch,Legs
Single Arm Cable Single Leg Romanian Deadlift,Legs
Double Kettlebell Suitcase Cyclist Squat,Legs
Single Arm Kettlebell Suitcase Cyclist Squat,Legs
Double Kettlebell Front Rack Step Up,Legs
Double Kettlebell Incline Bench Prone Row,Back
Single Arm Dumbbell Incline Bench Prone Row,Back
Single Arm Dumbbell Spider Curl,Biceps
Double Kettlebell Spider Curl,Biceps
Double Kettlebell Bottoms Up Incline Bench Press,Chest
Double Dumbbell Seated Good Morning,Back
Bodyweight Hip Thrust,Legs
Double Kettlebell Front Rack Box Pistol Squat,Legs
Alternating Double Kettlebell Bottoms Up Incline Bench Press,Chest
Single Arm Kettlebell Bottoms Up Incline Bench Press,Chest
Alternating Double Kettlebell Incline Bench Prone Row,Back
Single Arm Kettlebell Incline Bench Prone Row,Back
Ring Side Plank Reach Through,Abdominals
Single Arm Dumbbell Overhead Contralateral Bulgarian Split Squat,Legs
Single Arm Dumbbell Overhead Contralateral Knee Over Toe Split Squat,Legs
Double Kettlebell Suitcase Step Up,Legs
Single Arm Kettlebell Suitcase Contralateral Step Up,Legs
Single Arm Kettlebell Suitcase Ipsilateral Step Up,Legs
Single Arm Kettlebell Front Rack Contralateral Step Up,Legs
Single Arm Kettlebell Front Rack Ipsilateral Step Up,Legs
Double Kettlebell Overhead Step Up,Legs
Single Arm Kettlebell Overhead Contralateral Step Up,Legs
Single Arm Kettlebell Overhead Ipsilateral Step Up,Legs
Double Kettlebell Bottoms Up Front Rack Step Up,Legs
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Step Up,Legs
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Step Up,Legs
Double Kettlebell Bottoms Up Overhead Step Up,Legs
Single Arm Kettlebell Bottoms Up Overhead Contralateral Step Up,Legs
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Step Up,Legs
Kettlebell Half Kneeling Low to High Chop,Abdominals
Single Arm Kettlebell Windmill,Abdominals
Kettlebell Russian Twist,Abdominals
Alternating Single Arm Kettlebell Plank Pull Through,Abdominals
Single Arm Kettlebell Single Leg Standing Bent Knee Around The World ,Abdominals
Single Arm Kettlebell Swing,Legs
Double Kettlebell Suitcase Feet Elevated Calf Raise,Legs
Single Arm Kettlebell Spider Curl,Biceps
Double Kettlebell Bottoms Up Bench Press,Chest
Single Arm Kettlebell Suitcase Deadlift,Back
Single Arm Kettlebell Clean,Legs
Single Arm Kettlebell Clean to Overhead Press,Front Shoulder
Alternating Single Arm Dumbbell Pendlay Row,Back
Alternating Double Kettlebell Bottoms Up Bench Press,Chest
Single Arm Kettlebell Snatch,Front Shoulder
Kettlebell Sumo Deadlift,Back
Single Arm Kettlebell Turkish Get Up,Abdominals
Kettlebell Goblet Squat,Legs
Single Arm Kettlebell Overhead Squat,Legs
Double Kettlebell Front Rack Alternating Cossack Squat,Legs
Single Arm Kettlebell Bottoms Up Bench Press,Chest
Single Arm Kettlebell Turkish Sit Up,Abdominals
Double Kettlebell Turkish Sit Up,Abdominals
Double Kettlebell Turkish Sit Up to Z Press,Abdominals
Double Kettlebell Bottoms Up Front Rack Alternating Cossack Squat,Legs
Double Kettlebell Swing,Legs
Double Kettlebell Front Rack Squat,Legs
Single Arm Kettlebell Front Rack Squat,Legs
Single Arm Kettlebell Front Rack Contralateral Split Squat,Legs
Single Arm Kettlebell Front Rack Carry,Abdominals
Double Kettlebell Bottoms Up Overhead Alternating Cossack Squat,Legs
Single Arm Kettlebell Squat Clean,Legs
Double Kettlebell Prone Row,Back
Single Arm Kettlebell Bottoms Up Front Rack Carry,Abdominals
Double Kettlebell Bottoms Up Front Rack Carry,Abdominals
Double Kettlebell Bottoms Up Overhead Walking Lunge,Legs
Single Arm Kettlebell Bottoms Up Front Rack Walking Lunge,Legs
Alternating Double Kettlebell Prone Row,Back
Double Kettlebell Single Leg Romanian Deadlift ,Legs
Double Kettlebell Romanian Deadlift ,Legs
Single Arm Kettlebell Contralateral Single Leg Romanian Deadlift,Legs
Single Arm Kettlebell Bottoms Up Overhead Squat,Legs
Single Arm Kettlebell Prone Row,Back
Parallette Tuck Planche,Abdominals
Macebell Offset Bicep Curl,Biceps
Double Kettlebell Bottoms Up Decline Bench Press,Chest
Parallette L Sit to Tuck Planche,Abdominals
Alternating Double Kettlebell Bottoms Up Decline Bench Press,Chest
Landmine Standing Oblique Twist,Abdominals
